投稿日,時間,チャンネル,グループ,テーマ,台本,投稿文,ハッシュタグ,素材URL,状態,担当,ケン確認
6/8(月),07:00,Ueoka Kensuke,A,今日の気づき,,（ケン録画）,#武士道 #中今 #感謝,,企画中,ケン,要
6/8(月),12:00,bsl_himorikouen,D,雨の日の布団丸洗い,,梅雨こそ布団を清潔に,#コインランドリー #布団丸洗い #日守公園,,企画中,スタッフA,不要
6/8(月),19:00,unaginobori_kensuke,C,鰻ギフトのすすめ,,父の日に元氣を贈る,#鰻 #名古屋土産 #父の日ギフト,,企画中,スタッフB,不要
6/9(火),08:00,realjapan.vibes,A/B,朝の静けさ・禅,,Morning stillness,#zen #japan #mindfulness,,企画中,スタッフC,要
6/9(火),12:00,bsl_imure,D,乾燥機の使い方,,大物もスッキリ,#コインランドリー #乾燥機 #伊牟礼,,企画中,スタッフA,不要
6/9(火),19:00,P.Kensuke,C,今日のビカクシダ,,成長記録,#ビカクシダ #観葉植物,,企画中,スタッフC,不要
6/10(水),08:00,BUSHIDO TRAINING,A/B,一本歯下駄トレ,,Train your body,#bushido #samurai #training,,企画中,スタッフB,要
6/10(水),12:00,bsl_uenodai,D,雨の日需要,,雨の日も乾く安心,#コインランドリー #上野台,,企画中,スタッフA,不要
6/10(水),18:00,kyounomiyako_toyoake,E,今日のごはん,,あたたかい食卓,#グループホーム #豊明,,企画中,京の都担当,要
6/11(木),08:00,LinkedIn 海外向け,A/B,BUSHIDO JAPAN構想,,Regional revitalization,#bushido #japan #inbound,,企画中,ケン,要
6/11(木),12:00,coinlaundry_ekushia,D,チランジアの魅力,,洗濯×植物の癒し,#コインランドリー #チランジア,,企画中,スタッフA,不要
6/11(木),19:00,unaginobori_kensuke,C,ひつまぶしの食べ方,,3つの楽しみ方,#ひつまぶし #名古屋,,企画中,スタッフB,不要
6/12(金),08:00,bushido_international_program,B,礼とは何か,,若者へのメッセージ,#礼 #国際交流 #武士道,,企画中,スタッフC,不要
6/12(金),12:00,bsl_handa,D,布団丸洗い,,半田で布団まるごと,#コインランドリー #半田,,企画中,スタッフA,不要
6/12(金),19:00,テスラレンタカージャパン,C,事故時の代車,,事故の時に思い出して,#テスラ #代車 #名古屋,,企画中,スタッフB,不要
6/13(土),09:00,福祉サービス解説チャンネル,E,グループホームとは？,,家族にもわかる解説,#福祉サービス #グループホーム,,企画中,福祉担当,要
6/14(日),09:00,ユーワード伴走支援チャンネル,E,登録前によくある不安,,初心者の案内所,#ユーワード #地域貢献,,企画中,福祉担当,不要
