週,No,チャンネル,投稿数,再生/表示,いいね,保存,コメント,フォロー増,問い合わせ/相談/来店,主要KPI達成度
6/1-6/7,1,Ueoka Kensuke,,,,,,,,
6/1-6/7,2,BUSHIDO TRAINING,,,,,,,,
6/1-6/7,3,P.Kensuke,,,,,,,,
6/1-6/7,4,LinkedIn 海外向け,,,,,,,,
6/1-6/7,5,テスラレンタカージャパン,,,,,,,,
6/1-6/7,6,realjapan.vibes,,,,,,,,
6/1-6/7,7,kyounomiyako_toyoake,,,,,,,,
6/1-6/7,8,bushido_international_program,,,,,,,,
6/1-6/7,9,unaginobori_kensuke,,,,,,,,
6/1-6/7,10,bsl_himorikouen,,,,,,,,
6/1-6/7,11,bsl_imure,,,,,,,,
6/1-6/7,12,bsl_uenodai,,,,,,,,
6/1-6/7,13,coinlaundry_ekushia,,,,,,,,
6/1-6/7,14,bsl_handa,,,,,,,,
6/1-6/7,15,福祉サービス解説チャンネル,,,,,,,,
6/1-6/7,16,ユーワード伴走支援チャンネル,,,,,,,,
